channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UCkr56dbz1QIuobBPqKSROPw,History & Civilizations,everyday_history,1,1,10553,10553,https://www.youtube.com/channel/UCkr56dbz1QIuobBPqKSROPw/videos
UCyPqaZQ7pVFpTYE3_Qqh1Bw,World Side,everyday_history,1,1,10525,10525,https://www.youtube.com/channel/UCyPqaZQ7pVFpTYE3_Qqh1Bw/videos
UC8XvZVaCiTV0u4WYiug7NhA,Ancient Industry,everyday_history,2,2,9326,6884,https://www.youtube.com/channel/UC8XvZVaCiTV0u4WYiug7NhA/videos
UCfFrsS14viloVm1dKqHSoxQ,Japan Guide,everyday_history,1,1,8978,8978,https://www.youtube.com/channel/UCfFrsS14viloVm1dKqHSoxQ/videos
UCDps2bHI7iDEWuI_voOnObQ,WasherBoy12,everyday_history,2,1,8755,4882,https://www.youtube.com/channel/UCDps2bHI7iDEWuI_voOnObQ/videos
UCFN6r1FAzIoza_XHKmvIz2Q,Medieval Sisters,everyday_history,3,3,8555,1060,https://www.youtube.com/channel/UCFN6r1FAzIoza_XHKmvIz2Q/videos
UCrKliDxqxsrocdyevQ_tVWg,Victorian Era Stories,everyday_history,1,1,7911,7911,https://www.youtube.com/channel/UCrKliDxqxsrocdyevQ_tVWg/videos
UCeaJ37P2B1QUGgsI0RyFugw,Thomas Relives History,everyday_history,1,1,7606,7606,https://www.youtube.com/channel/UCeaJ37P2B1QUGgsI0RyFugw/videos
UCzb8OJuZuCgvwmzTLKJ8mlw,Quiet History Vault,everyday_history,3,3,7028,2915,https://www.youtube.com/channel/UCzb8OJuZuCgvwmzTLKJ8mlw/videos
UCvOaNIya6EPc6yieQymjPHQ,Dream City,everyday_history,1,1,6948,6948,https://www.youtube.com/channel/UCvOaNIya6EPc6yieQymjPHQ/videos
UCptumInBgDJ9PTKFTyQpvuQ,Forgotten Servant Kitchens,everyday_history,1,1,6371,6371,https://www.youtube.com/channel/UCptumInBgDJ9PTKFTyQpvuQ/videos
