query_group,query,video_id,channel_id,channel_name,title,views,published_text,age_days,duration_seconds,url
everyday_history,how families survived Dust Bowl documentary,kfsmKKbeHfU,UC_flqFKiBECNEGyj9P57N_w,History revealed,"""Life in the 1930s America – How Families Survived the Great Depression""",38,11 months ago,330,404,https://www.youtube.com/watch?v=kfsmKKbeHfU
everyday_history,how families survived Dust Bowl documentary,7h4_9c7hv9M,UCf33nkiGJ3C3u-Ey-5_r38A,Village Channel,Surviving Massive Afghan Dust Storm - Traditional Family's TRUE Survival Story,3726,11 months ago,330,577,https://www.youtube.com/watch?v=7h4_9c7hv9M
everyday_history,how families survived Dust Bowl documentary,lWB5_NSEdx4,UCnykQelFBsDKg63yk2Ugf8Q,NEUROPSYCHO,The Dust Bowl: The Day the Sky Turned Black (Black Sunday 1935),9,1 month ago,30,838,https://www.youtube.com/watch?v=lWB5_NSEdx4
everyday_history,how families survived Dust Bowl documentary,FrX-tbQev7I,UCVu-hbqUsvuQQA2EUpOlGOw,The Living Past,"Trapped in the Dust Bowl: Surviving a ""Black Blizzard"" in the 1930s",17,2 weeks ago,14,408,https://www.youtube.com/watch?v=FrX-tbQev7I
everyday_history,how families survived Dust Bowl documentary,fZZUAHrVGrY,UC548di_sF9YGH6XTwO1UB9g,American Remind,How Black Families Survived the Great Depression | Untold Story of Survival Meals,1740,11 months ago,330,845,https://www.youtube.com/watch?v=fZZUAHrVGrY
everyday_history,how families survived Dust Bowl documentary,qiJV0AoeAwE,UCRjgFeZLeAyylt3qfZdFzHw,马大三,"The Dust Bowl: How Drought, Farming, and Economic Collapse Drove Families From the Great Plains",3,8 days ago,8,2213,https://www.youtube.com/watch?v=qiJV0AoeAwE
everyday_history,how families survived Dust Bowl documentary,lkXVZA-u9gM,UC01VmqHkbyhleA1dITkAAMw,The Forgotten Records,The Great Depression: What America Really Lived Through (Rare & True Stories),31,8 months ago,240,2475,https://www.youtube.com/watch?v=lkXVZA-u9gM
everyday_history,how families survived Dust Bowl documentary,kpIdjLrTC78,UCnsTOiUCkVUsR9ph-eeaQeg,Curio Chatter,The Dust Bowl:🌪️ When America Turned Into a Desert 🏜️ //WHEN THE SKY TURNED BLACK//#history #facts,18,1 month ago,30,248,https://www.youtube.com/watch?v=kpIdjLrTC78
everyday_history,how families survived Dust Bowl documentary,umCIMH6xSUs,UCeeKySEVO004NPB6I3nsiJQ,Weird World Vibes For Sleep and Knowledge,Did Black Blizzards Turn Day into Night? Documentary of Dust Storms that Buried the American Dream,24,11 months ago,330,284,https://www.youtube.com/watch?v=umCIMH6xSUs
everyday_history,how families survived Dust Bowl documentary,CDKEK9u4xdE,UC2VOrDdsqMEc33kvK3u4JXA,ERASED,"Dust Bowl 1935: The Clerk Who Secretly Recorded 250,000 Lost Names",9,1 month ago,30,327,https://www.youtube.com/watch?v=CDKEK9u4xdE
everyday_history,how families survived Dust Bowl documentary,Gk-CPsT9_9g,UC7RPPEBLPszXFfZ6dnX0p-w,Echoed Time,The Day America Couldn’t Breathe (The Dust Bowl Disaster),13,2 months ago,60,428,https://www.youtube.com/watch?v=Gk-CPsT9_9g
everyday_history,life before electricity history documentary,Q7pcoIUwUHY,UCneV-H4A9shJHXPNIRH9f2A,Bizarre History Files,The Forgotten History of Everyday Life Before Electricity | Forgotten History Documentary,22,3 days ago,3,1645,https://www.youtube.com/watch?v=Q7pcoIUwUHY
everyday_history,life before electricity history documentary,EOHLmf6TXgc,UCiA8oqaqPyfXt74jitl0lPA,World Without Anything,How People Lived Without Electricity | A Full Day in 1900 (Slow Documentary),913,7 months ago,210,2441,https://www.youtube.com/watch?v=EOHLmf6TXgc
everyday_history,life before electricity history documentary,JhZmiBgktoE,UCM_VDJbYR-i2zVuH5dxI3Uw,The Hidden History Project,"Before Electricity, People Spent 10% of Their Income on This | History Documentary",89669,4 months ago,120,879,https://www.youtube.com/watch?v=JhZmiBgktoE
everyday_history,life before electricity history documentary,cwvwtUUX0wg,UCgGPfnM_fwhXKasO3JA5cOQ,Before It Was Normal,"Before Electricity, People Spent 10% of Their Income on This  History Documentary",24,3 months ago,90,552,https://www.youtube.com/watch?v=cwvwtUUX0wg
everyday_history,life before electricity history documentary,QlJj0_SLwGU,UC8Gmj5vwTG6sLW9qqemp8Tw,Chroniq History,"Before Electricity, People Spent 10% of Their Income on This | History Documentary",4,2 months ago,60,549,https://www.youtube.com/watch?v=QlJj0_SLwGU
everyday_history,life before electricity history documentary,LLnH25Wg9nY,UCV9hX7TcfGDwagCM36WE-jA,Nexora,The Night Before Electricity: A Documentary on Human Survival,5,1 month ago,30,395,https://www.youtube.com/watch?v=LLnH25Wg9nY
everyday_history,life before electricity history documentary,5c-V1Xf7hVM,UCxRdM8fTOaGG7N2ZtOU3q4Q,Iman_Studios,"1400 Years Ago: Life Before Islam & Prophet Muhammad ﷺ | Life in Arabia | Homes, Markets and Culture",269,5 hours ago,0,444,https://www.youtube.com/watch?v=5c-V1Xf7hVM
everyday_history,life before electricity history documentary,UBSQaRjW4j8,UCijcd0GR0fkxCAZwkiuWqtQ,Free Documentary,"No Power, No Technology, No Modern Life: The Mennonites of Mexico | Free Documentary",646681,10 months ago,300,3882,https://www.youtube.com/watch?v=UBSQaRjW4j8
everyday_history,life before electricity history documentary,wRP0jCJeOuw,UCPqx-oBGdSyw6wEtCUsJlQQ,Calm Story Nights,What Nighttime Was Like Before Electricity | Full Documentary for Sleep,53,5 months ago,150,4555,https://www.youtube.com/watch?v=wRP0jCJeOuw
everyday_history,life before electricity history documentary,7uu-RBOj_-0,UCqWDbvpsjRVumInDgi_M00g,SleepLore History,Sleepy History Documentary | Before Electricity How Victorians Harvested Ice for Their Grand Estates,8,1 month ago,30,12254,https://www.youtube.com/watch?v=7uu-RBOj_-0
everyday_history,life before electricity history documentary,xb07UQ9TauY,UC30nPmltwQ9nDbzME7Nom8A,Pain Into Power,Life Before Oil? This 1949 Documentary Shows Why America Runs on It,53,7 months ago,210,1159,https://www.youtube.com/watch?v=xb07UQ9TauY
everyday_history,life before electricity history documentary,O-7aTJ3KW1M,UC6LYB8YhQKo2H6EK3q6U6kw,Bedtime & Historian ,Nikola Tesla | The Inventor Who Gave the World Electricity | Documentary for Sleep,58892,5 months ago,150,10874,https://www.youtube.com/watch?v=O-7aTJ3KW1M
everyday_history,life before electricity history documentary,6e8L28LRWOw,UCZbk6uh4cbxwscTJEJXzxzA,The Royal Chronicles ,The House of Borgia: The Most Dangerous Family in Renaissance Rome,2690,19 hours ago,0,6438,https://www.youtube.com/watch?v=6e8L28LRWOw
everyday_history,life before electricity history documentary,UnvtdsiTgD8,UCGBoWe1mzCvbbqDNncmxm8A,FINAiUS,Black Budget - The ENTIRE History of CIA | Documentary,1714120,11 months ago,330,2777,https://www.youtube.com/watch?v=UnvtdsiTgD8
everyday_history,life before electricity history documentary,m1s_dD3OKSY,UCS_Qr-D1HTo12BefhO6YNVA,stickman01,What Was Life Like Before Electricity? | The Dark World of Ancient Humans,3,1 day ago,1,151,https://www.youtube.com/watch?v=m1s_dD3OKSY
everyday_history,life before electricity history documentary,FMxLJ17Z58w,UCGBoWe1mzCvbbqDNncmxm8A,FINAiUS,The Entire History of Warren Buffett | 2026 Documentary,65838,3 days ago,3,4279,https://www.youtube.com/watch?v=FMxLJ17Z58w
everyday_history,life before electricity history documentary,KgrynQ27ir8,UCkr56dbz1QIuobBPqKSROPw,History & Civilizations,How Money Was Invented: The Chinese Way 🪙 [Ancient History Documentary],10553,2 days ago,2,3456,https://www.youtube.com/watch?v=KgrynQ27ir8
everyday_history,life before electricity history documentary,7PDABcZ_kVY,UCXmqR3oz1H_dvDc6nerTvgw,The Power of the Word,The Life of Jesus Like You’ve Never Seen Before,3437270,8 months ago,240,3215,https://www.youtube.com/watch?v=7PDABcZ_kVY
everyday_history,life before electricity history documentary,Zk9oiea-gzE,UCmUnr9efQPGV0zg37YvL2-w,Prime History Facts,The Birth of Civilization: Life Before Empires | Full History Documentary,15,6 months ago,180,357,https://www.youtube.com/watch?v=Zk9oiea-gzE
