channel_id,channel_name,query_groups,joined_date,subscribers,video_count,max_search_views,extracted_videos,extracted_long_videos,median_latest_10,median_latest_20,max_latest_20,latest_20_over_10k,latest_20_over_50k,latest_20_over_100k,latest_20_over_1m,latest_20_zero_or_missing,views_to_subs_median_10,country,canonical_url,videos_status
UC_iEmYXdZJvjxdUMehwSXqw,Asian Dad Energy,work_career_education,2025-05-13,124000,95,343383,30,28,107500,80500,511000,20,15,9,0,0,0.8669,United States,http://www.youtube.com/@AsianDadEnergy,ok
UCDGrKOtVH1kWDD-DrkTm0ew,Hidden Planet TV,nature_animals,2025-05-10,20200,243,1234382,30,30,262,392,4400,0,0,0,0,0,0.013,United States,http://www.youtube.com/@hiddenplanetvip,ok
UCdBjCBrh6gvcf7N1n9kjMiQ,Ancient History,culture_entertainment|history_civilization,2025-05-09,21500,41,146012,30,30,9650,23000,397000,13,8,5,0,0,0.4488,India,http://www.youtube.com/@AncientHistory-q9w,ok
UCjkPT5n571CsTwxykFZghSw,Banana Planet TV,nature_animals,2025-05-06,30000,148,2079939,30,30,9250,14000,158000,11,6,3,0,0,0.3083,United States,http://www.youtube.com/@BananaPlanetTV,ok
UCMVhLAn7fXvYKlwM0ytKNmQ,Vincent Perez  Films,speculative_scifi,2025-05-03,11900,61,183467,30,9,18000,18000,738000,7,2,2,0,0,1.5126,Spain,http://www.youtube.com/@Vincent_Perez_Films,ok
UCUIzUlxA9OvY5SjXv51tDpw,Fat Rat,history_civilization,2025-05-01,14700,18,2772542,18,18,718,2450,2700000,4,1,1,1,0,0.0488,Italy,http://www.youtube.com/@FatRatInternational,ok
UCWfnMYXFqLjJdu8wEsKL2OQ,DatingtoWin,internet_mysteries,2025-04-30,9010,469,121330,30,21,993,1115,121000,3,2,2,0,0,0.1103,United States,http://www.youtube.com/@DatingtoWin25,ok
UChS4VG1jXDcxDnUvwcMcxtg,Neu,geography_logistics,2025-04-19,36000,38,592321,30,30,29000,59000,592000,17,11,5,0,0,0.8056,United States,http://www.youtube.com/@neu-youtube,ok
UCzQ2FFVe7m8yIgzXMZtlSjg,Steve Eisman,technology_ai,2025-04-03,191000,444,105812,30,30,71500,75500,142000,20,18,4,0,0,0.3743,,http://www.youtube.com/@RealEismanPlaybook,ok
UCP9RPj_BG0vit2TNM7LuRxA,Crayon Capital,business_economics|crime_scams_mystery,2025-03-31,245000,29,4193646,29,29,78000,228000,1200000,20,16,14,1,0,0.3184,,http://www.youtube.com/@Crayon_Capital,ok
UCdwrzLH6HnkyWSCcY_d4eXA,Found In Africa,culture_entertainment,2025-03-31,60200,24,268121,20,19,268000,268000,1200000,19,17,13,1,0,4.4518,,http://www.youtube.com/@FoundinAfrica,ok
UC0ra0vN_iF5AwwU7G8q79rw,Majestic Studios,history_civilization,2025-03-19,230000,90,1009344,17,17,0,0,0,0,0,0,0,17,0.0,,http://www.youtube.com/@MajesticAIStudio,ok
UCqW-PuTMM73Ff6qR8k-8HGg,Darkest Horrors,crime_scams_mystery,2025-03-16,43400,19,1554386,19,19,136500,230000,1500000,19,13,12,2,0,3.1452,United States,http://www.youtube.com/@DarkestHorrors,ok
UCzVzADipldUrUhKkuw-ISqw,The Curious Mind,history_civilization,2025-03-09,188000,587,2233654,30,30,1600,2600,431000,2,1,1,0,0,0.0085,United States,http://www.youtube.com/@TheCuriousMind12-e2c,ok
UCEk2QG770jl3B1tkyi6cyXA,Seriesly,consumer_systems,2025-03-07,49800,177,421763,30,30,21000,19000,214000,14,3,2,0,0,0.4217,United States,http://www.youtube.com/@SerieslyYT,ok
UCTRgu3iuyGXbhz5kYNjpObw,Get.history,history_civilization,2025-03-05,167000,315,652141,30,30,5700,9650,253000,10,5,3,0,0,0.0341,Germany,http://www.youtube.com/@Get.history,ok
UCVVTthHLGBuNeKf5z6jGV2A,Blackfiles,crime_scams_mystery|technology_ai,2025-02-27,453000,146,2339183,30,30,50000,56500,174000,20,12,3,0,0,0.1104,Spain,http://www.youtube.com/@Blackfiles-HD,ok
UC4flZ-DVneV-yy3Izp4YLzg,Chris Explains,history_civilization,2025-02-24,27900,48,1316048,30,30,4150,8000,114000,9,3,1,0,0,0.1487,United States,http://www.youtube.com/@chris_explainsyt,ok
UCsEw1xMjZJR2AbdL_V5vDzA,MovieVerse Hindi,practical_lifestyle|speculative_scifi,2025-02-23,104000,129,101215,30,30,19500,29500,101000,18,4,1,0,0,0.1875,India,http://www.youtube.com/@MovieVerseHindii-w4r,ok
