channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UCgupQ2pM9Egh0soAkmW5kMA,The Ancient Lens,everyday_history,1,1,20,20,https://www.youtube.com/channel/UCgupQ2pM9Egh0soAkmW5kMA/videos
UCJdRx_2utCAdq8p0DFVMJHw,Insurance Simplified USA,consumer_systems,1,0,20,20,https://www.youtube.com/channel/UCJdRx_2utCAdq8p0DFVMJHw/videos
UC6__2aaS0fL41K9afSDKmmA,Tech spark ,technology_ai,1,0,20,20,https://www.youtube.com/channel/UC6__2aaS0fL41K9afSDKmmA/videos
UCOqCdmjfOkxu-Fw5lru6mXw,Diplomatrix Today ,science_engineering,1,0,20,20,https://www.youtube.com/channel/UCOqCdmjfOkxu-Fw5lru6mXw/videos
UCPDB2J3s7trdvjbhg-HrV4g,News and Views,geography_logistics,1,0,20,20,https://www.youtube.com/channel/UCPDB2J3s7trdvjbhg-HrV4g/videos
UCDKDd-c_9L-Y55w2VXPRtoQ,Simple Learning,work_career_education,1,0,20,20,https://www.youtube.com/channel/UCDKDd-c_9L-Y55w2VXPRtoQ/videos
UC57BueXueAK6LAc7F5Fah6A,Tern-tv,economic_explainers,1,0,20,20,https://www.youtube.com/channel/UC57BueXueAK6LAc7F5Fah6A/videos
UCHaHJk9rsiIbA9htdWKCeSQ,American Retro Rewind,everyday_history,1,0,20,20,https://www.youtube.com/channel/UCHaHJk9rsiIbA9htdWKCeSQ/videos
UCWCn12bz1H9SZM1NF13mLdg,Forgotten Texas,everyday_history,1,0,20,20,https://www.youtube.com/channel/UCWCn12bz1H9SZM1NF13mLdg/videos
UCadOwkOWuZhgbgC13lMeHCg,Sir.Capital,business_economics,1,1,19,19,https://www.youtube.com/channel/UCadOwkOWuZhgbgC13lMeHCg/videos
UCNEyrgow0dCiYrHY7R9UqnA,Gulf Jobs Platform,work_career_education,1,1,19,19,https://www.youtube.com/channel/UCNEyrgow0dCiYrHY7R9UqnA/videos
UCKUO52wpzFQn2LjybBS-PGQ,Retroscope,speculative_scifi,1,1,19,19,https://www.youtube.com/channel/UCKUO52wpzFQn2LjybBS-PGQ/videos
UCDhWlSRDcoIKPm_kUaO20qw,Warline Archives,everyday_history,1,1,19,19,https://www.youtube.com/channel/UCDhWlSRDcoIKPm_kUaO20qw/videos
UCld9SkH8-y6HrAVZuSFhYvA,Before Modern Life,everyday_history,1,1,19,19,https://www.youtube.com/channel/UCld9SkH8-y6HrAVZuSFhYvA/videos
UCn9c3UyZ_49XVULOr8fBDCA,Timeline Secrets - Discover Time’s Secrets,everyday_history,1,1,19,19,https://www.youtube.com/channel/UCn9c3UyZ_49XVULOr8fBDCA/videos
UCOzB3yCuddj5hThkacEVfhg,Strategy Reloaded,business_economics,1,0,19,19,https://www.youtube.com/channel/UCOzB3yCuddj5hThkacEVfhg/videos
UCgl9ru7gNIFa-LY-rmfsnUw,FUTURE OF AI,science_engineering,2,0,19,17,https://www.youtube.com/channel/UCgl9ru7gNIFa-LY-rmfsnUw/videos
UC9QDl_Es8gMkmBIg0CkgKSQ,Memory Tree,science_engineering,1,0,19,19,https://www.youtube.com/channel/UC9QDl_Es8gMkmBIg0CkgKSQ/videos
UCAcoQ9DDWn1E2i0FSXTl9kQ,USA Factory Documentry,practical_lifestyle,1,0,19,19,https://www.youtube.com/channel/UCAcoQ9DDWn1E2i0FSXTl9kQ/videos
UCMmrv7VzsNQj1rSui9GiE9A,Bhojpuri TuneNest,everyday_history,1,0,19,19,https://www.youtube.com/channel/UCMmrv7VzsNQj1rSui9GiE9A/videos
UClbM804-Zy3G9bPDGjKBZiw,Empire Theory,business_economics,1,1,18,18,https://www.youtube.com/channel/UClbM804-Zy3G9bPDGjKBZiw/videos
UC4n9Ci94apUG-4ypCsHVjKw,Hidden Truth Files,internet_mysteries,1,1,18,18,https://www.youtube.com/channel/UC4n9Ci94apUG-4ypCsHVjKw/videos
UCQydtsKD8nudZLXq757uAcg,INFORYX,history_civilization,1,0,18,18,https://www.youtube.com/channel/UCQydtsKD8nudZLXq757uAcg/videos
UCn4nslEJry_RwLAsoafIjww,Phantom Files,science_engineering,1,0,18,18,https://www.youtube.com/channel/UCn4nslEJry_RwLAsoafIjww/videos
UCGEGttFgpQ5QvpKRyc6Faig,Just Unfolding ,geography_logistics,1,0,18,18,https://www.youtube.com/channel/UCGEGttFgpQ5QvpKRyc6Faig/videos
UCKN4XS-jQhSPVacgDZ6v5zw,Curiositytoknow,geography_logistics,1,0,18,18,https://www.youtube.com/channel/UCKN4XS-jQhSPVacgDZ6v5zw/videos
UCcyfE_XRrklBb51jUCss2EQ,Har docs ,crime_scams_mystery,1,0,18,18,https://www.youtube.com/channel/UCcyfE_XRrklBb51jUCss2EQ/videos
UCa_M8f3mLrEMyKNnGIpPzAg,Denovoro,practical_lifestyle,1,0,18,18,https://www.youtube.com/channel/UCa_M8f3mLrEMyKNnGIpPzAg/videos
UCnsTOiUCkVUsR9ph-eeaQeg,Curio Chatter,everyday_history,1,0,18,18,https://www.youtube.com/channel/UCnsTOiUCkVUsR9ph-eeaQeg/videos
UCS70zZaaSfLc_xpJybVxbfQ,Story Behind The Things,everyday_history,1,0,18,18,https://www.youtube.com/channel/UCS70zZaaSfLc_xpJybVxbfQ/videos
UChpZ635-BF1VKP4_tON5Wow,SocialFD,everyday_history,2,0,18,12,https://www.youtube.com/channel/UChpZ635-BF1VKP4_tON5Wow/videos
UCuJELBzwnr99uQdnTiCIgXA,HQExplainz,history_civilization,1,1,17,17,https://www.youtube.com/channel/UCuJELBzwnr99uQdnTiCIgXA/videos
UCL4tJMzVF6KzWJSvOgc3B-w,World in Focus ,history_civilization,1,1,17,17,https://www.youtube.com/channel/UCL4tJMzVF6KzWJSvOgc3B-w/videos
UCcwiWO7V8pPMnMQt8lJTEmQ,Mind Ascend    ,psychology_society,1,1,17,17,https://www.youtube.com/channel/UCcwiWO7V8pPMnMQt8lJTEmQ/videos
UCvOv2ngQ_mBSl5zrTAp2nhw,Ordinary Ages,everyday_history,1,1,17,17,https://www.youtube.com/channel/UCvOv2ngQ_mBSl5zrTAp2nhw/videos
UC8RsHT945Bl1Xq7LNj0nvcQ,WHUC News 7 Hinds Community College Utica Campus,everyday_history,1,1,17,17,https://www.youtube.com/channel/UC8RsHT945Bl1Xq7LNj0nvcQ/videos
UCfOTca7I14XhfDKaZEMfIfg,Know Basic,business_economics,1,0,17,17,https://www.youtube.com/channel/UCfOTca7I14XhfDKaZEMfIfg/videos
UCnddBwh4EjKmGGVjPUAw05A,Innovatrix,technology_ai,1,0,17,17,https://www.youtube.com/channel/UCnddBwh4EjKmGGVjPUAw05A/videos
UCDucRDB8_mJxA_0eUyH2D7w,Hidden America Files,work_career_education,1,0,17,17,https://www.youtube.com/channel/UCDucRDB8_mJxA_0eUyH2D7w/videos
UCT7w3xGw696TKNg877nar4A,Journalism Explained,culture_entertainment,1,0,17,17,https://www.youtube.com/channel/UCT7w3xGw696TKNg877nar4A/videos
UCEQZMoz7hI3Qv4E7c4CIIRQ,Before Times,everyday_history,1,0,17,17,https://www.youtube.com/channel/UCEQZMoz7hI3Qv4E7c4CIIRQ/videos
UCvSMRYCoilIVM0RVY-e4X1A,behind the why,everyday_history,1,0,17,17,https://www.youtube.com/channel/UCvSMRYCoilIVM0RVY-e4X1A/videos
UCVu-hbqUsvuQQA2EUpOlGOw,The Living Past,everyday_history,1,0,17,17,https://www.youtube.com/channel/UCVu-hbqUsvuQQA2EUpOlGOw/videos
UCEIU_GayWOrYRC3IobR_-UA,HistoMark,everyday_history,1,0,17,17,https://www.youtube.com/channel/UCEIU_GayWOrYRC3IobR_-UA/videos
UCdXcMSmyW6AZQosydCiSOzw,Profit Dynamics,business_economics,1,1,16,16,https://www.youtube.com/channel/UCdXcMSmyW6AZQosydCiSOzw/videos
UChDuOy5j5yyG1WXL1aNBAzA,Legacy Logic,consumer_systems,1,1,16,16,https://www.youtube.com/channel/UChDuOy5j5yyG1WXL1aNBAzA/videos
UCYB3ysv2J9gmqrtu6IPA5FQ,Your Offday BFF,practical_lifestyle,1,1,16,16,https://www.youtube.com/channel/UCYB3ysv2J9gmqrtu6IPA5FQ/videos
UCYQuAhkJgU1I4tQzvxxu1aw,Erased Century,everyday_history,1,1,16,16,https://www.youtube.com/channel/UCYQuAhkJgU1I4tQzvxxu1aw/videos
UCWW_saM7RQmXZm_bbmJD4QQ,Origin Found,everyday_history,1,1,16,16,https://www.youtube.com/channel/UCWW_saM7RQmXZm_bbmJD4QQ/videos
UCMOYmKGg1fJtV_JOc0HCi7g,The Missing Piece,technology_ai,1,0,16,16,https://www.youtube.com/channel/UCMOYmKGg1fJtV_JOc0HCi7g/videos
UCee6LunJea33_RxKeYA-C5w,MindShift Facts,psychology_society,1,0,16,16,https://www.youtube.com/channel/UCee6LunJea33_RxKeYA-C5w/videos
UCNpu4DZim-GKTKsxTliLydg,Science In Short,nature_animals,1,0,16,16,https://www.youtube.com/channel/UCNpu4DZim-GKTKsxTliLydg/videos
UCBA9NrHEVZnjySvTTbXsxjw,Secret Era,everyday_history,1,0,16,16,https://www.youtube.com/channel/UCBA9NrHEVZnjySvTTbXsxjw/videos
UCqZYZKKTHx4fbtTW5oUZrNA,LedgerLore,business_economics,1,1,15,15,https://www.youtube.com/channel/UCqZYZKKTHx4fbtTW5oUZrNA/videos
